Player Name,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4WH,5WH,Team name,Nation
Wahab Riaz,2016-2021,67,66,249.5,2,1844,94,17-Apr,19.61,7.38,15.9,1,0,(Peshawar Zalmi),Pakistan
Hasan Ali,2016-2021,55,54,205,1,1504,72,15-Apr,20.88,7.33,17,3,0,(Peshawar Zalmi),Pakistan
Faheem Ashraf,2018-2021,39,39,132.5,1,1042,55,19-Jun,18.94,7.84,14.4,1,1,(Islamabad United),Pakistan
Mohammad Nawaz,2016-2021,61,61,201.4,1,1447,55,13-Apr,26.3,7.17,22,1,0,(Quetta Gladiators),Pakistan
Mohammad Amir,2016-2021,59,58,216.2,6,1598,54,25-Apr,29.59,7.38,24,2,0,(Karachi Kings),Pakistan
Sohail Tanvir,2016-2021,54,52,188.5,2,1447,53,13-Apr,27.3,7.66,21.3,2,0,(Quetta Gladiators),Pakistan
Shaheen Shah Afridi,2018-2021,37,37,138.3,3,1060,50,5-Apr,21.2,7.65,16.6,1,1,(Lahore Qalandars),Pakistan
Shadab Khan,2017-2021,52,52,184.4,0,1368,46,13-Mar,29.73,7.4,24,0,0,(Islamabad United),Pakistan
Shahid Afridi,2016-2021,50,48,161.4,5,1127,44,5-Jul,25.61,6.97,22,0,1,(Peshawar Zalmi),Pakistan
Mohammad Irfan,2016-2021,51,49,185,3,1285,43,22-Mar,29.88,6.94,25.8,0,0,(Peshawar Zalmi),Pakistan
Mohammad Sami,2016-2019,36,36,127,1,875,42,5-Aug,20.83,6.88,18.1,0,1,(Islamabad United),Pakistan
Usman Shinwari,2017-2021,36,35,120,0,1078,40,15-Apr,26.95,8.98,18,2,0,(Quetta Gladiators),Pakistan
Sohail Khan,2016-2021,39,38,138,1,1187,39,23-Mar,30.43,8.6,21.2,0,0,(Quetta Gladiators),Pakistan
Imran Tahir,2018-2021,27,25,90,2,647,37,3-Jul,17.48,7.18,14.5,0,0,(Multan Sultans),South Africa
Mohammad Hasnain,2019-2021,25,25,92.5,1,790,36,25-Apr,21.94,8.5,15.4,2,0,(Quetta Gladiators),Pakistan
Umaid Asif,2018-2021,36,36,132.3,0,1086,36,23-Apr,30.16,8.19,22,1,0,(Peshawar Zalmi),Pakistan
Imad Wasim,2016-2021,59,55,176.3,1,1245,36,18-Mar,34.58,7.05,29.4,0,0,(Karachi Kings),Pakistan
Rahat Ali,2018-2020,28,28,102.2,0,800,34,16-Apr,23.52,7.81,18,2,0,(Quetta Gladiators),Pakistan
Rumman Raees,2016-2020,32,32,110,0,818,34,25-Apr,24.05,7.43,19.4,1,0,(Islamabad United),Pakistan
Haris Rauf,2019-2021,27,27,101.2,0,911,31,23-Apr,29.38,8.99,19.6,1,0,(Lahore Qalandars),Pakistan
SR Patel,2018-2021,33,29,89,1,667,29,4-May,23,7.49,18.4,2,0,(Lahore Qalandars),England
TS Mills,2017-2020,22,21,78.3,0,612,28,20-Mar,21.85,7.79,16.8,0,0,(Quetta Gladiators),England
Yasir Shah,2017-2020,27,27,95.1,0,692,26,4-Jul,26.61,7.27,21.9,1,0,(Peshawar Zalmi),Pakistan
Junaid Khan,2016-2020,27,25,92,1,780,26,24-Mar,30,8.47,21.2,0,0,(Peshawar Zalmi),Pakistan
Mohammad Ilyas,2019-2021,22,20,61.3,1,536,25,27-Mar,21.44,8.71,14.7,0,0,(Multan Sultans),Pakistan
CJ Jordan,2017-2020,22,22,77,0,610,25,26-Mar,24.4,7.92,18.4,0,0,(Peshawar Zalmi),England
SR Watson,2016-2020,46,26,74,0,612,23,Apr-44,26.6,8.27,19.3,1,0,(Quetta Gladiators),Australia
Anwar Ali,2016-2021,36,34,102.1,1,893,23,21-Feb,38.82,8.74,26.6,0,0,(Quetta Gladiators),Pakistan
Mohammad Irfan,2017-2019,21,20,63,0,589,22,26-Mar,26.77,9.34,17.1,0,0,(Quetta Gladiators),Pakistan
AD Russell,2016-2021,19,17,55.2,0,483,21,18-Mar,23,8.72,15.8,0,0,(Quetta Gladiators),West Indies
Mohammad Asghar,2016-2018,21,21,63.4,1,489,21,16-Mar,23.28,7.68,18.1,0,0,(Peshawar Zalmi),Pakistan
Sameen Gul,2018-2021,18,18,66,0,554,21,29-Mar,26.38,8.39,18.8,0,0,(Peshawar Zalmi),Pakistan
Fawad Ahmed,2019-2021,22,22,84.5,0,630,21,15-Mar,30,7.42,24.2,0,0,(Quetta Gladiators),Australia
Shahnawaz Dahani,2021-2021,11,11,40.2,1,340,20,4-May,17,8.42,12.1,2,0,(Multan Sultans),Pakistan
SP Narine,2017-2018,17,17,66,0,411,20,28-Mar,20.55,6.22,19.8,0,0,(Lahore Qalandars),West Indies
Umer Khan,2019-2020,17,15,51,0,397,19,22-Mar,20.89,7.78,16.1,0,0,(Karachi Kings),Pakistan
Muhammad Musa,2019-2021,17,17,56.4,2,517,19,18-Mar,27.21,9.12,17.8,0,0,(Islamabad United),Pakistan
D Wiese,2018-2021,23,22,68,0,591,19,27-Mar,31.1,8.69,21.4,0,0,(Lahore Qalandars),Namibia
Zafar Gohar,2016-2021,16,15,43.2,0,368,18,14-Apr,20.44,8.49,14.4,1,0,(Lahore Qalandars),Pakistan
Usama Mir,2016-2020,20,20,65.5,0,557,18,24-Mar,30.94,8.46,21.9,0,0,(Karachi Kings),Pakistan
Arshad Iqbal,2020-2021,16,16,53.2,1,466,17,16-Mar,27.41,8.73,18.8,0,0,(Karachi Kings),Pakistan
Amad Butt,2017-2021,20,18,55.2,0,541,17,27-Apr,31.82,9.77,19.5,1,0,(Peshawar Zalmi),Pakistan
Hassan Khan,2017-2021,26,26,70.4,0,514,16,2-Oct,32.12,7.27,26.5,0,0,(Quetta Gladiators),Pakistan
Aamer Yamin,2016-2021,22,21,63.1,1,537,16,17-Mar,33.56,8.5,23.6,0,0,(Peshawar Zalmi),Pakistan
S Mahmood,2020-2021,6,6,22.1,0,186,15,3-Dec,12.4,8.39,8.8,0,0,(Peshawar Zalmi),England
GD Elliott,2016-2017,13,13,34,0,249,15,15-Apr,16.6,7.32,13.6,2,0,(Quetta Gladiators),New Zealand
Waqas Maqsood,2019-2021,12,12,40.1,0,323,15,18-Feb,21.53,8.04,16,0,0,(Karachi Kings),Pakistan
RS Bopara,2016-2021,39,19,45,0,393,15,16-Jun,26.2,8.73,18,0,1,(Peshawar Zalmi),England
Zulfiqar Babar,2016-2017,18,18,72,2,499,15,17-Feb,33.26,6.93,28.8,0,0,(Quetta Gladiators),Pakistan
Dilbar Hussain,2020-2020,11,11,34.3,0,279,14,24-Apr,19.92,8.08,14.7,1,0,(Lahore Qalandars),Pakistan
